,YYYY,State,COUNTY,FIPS_State,FIPS_County,FIPS_Combined,SubstanceName,DrugReports,TotalDrugReportsCounty,TotalDrugReportsState
2423,2015,PA,ADAMS,42,1,42001,Fentanyl,5,420,75351
2424,2015,PA,ADAMS,42,1,42001,Heroin,54,420,75351
2431,2015,PA,ADAMS,42,1,42001,Hydrocodone,4,420,75351
2432,2015,PA,ADAMS,42,1,42001,Oxycodone,17,420,75351
2433,2015,PA,ARMSTRONG,42,5,42005,Fentanyl,2,248,75351
2434,2015,PA,ARMSTRONG,42,5,42005,Hydromorphone,2,248,75351
2435,2015,PA,BEAVER,42,7,42007,Acetyl fentanyl,2,630,75351
2450,2015,PA,ALLEGHENY,42,3,42003,Codeine,6,8938,75351
2451,2015,PA,ALLEGHENY,42,3,42003,Morphine,10,8938,75351
2452,2015,PA,ARMSTRONG,42,5,42005,Buprenorphine,9,248,75351
2465,2015,PA,ADAMS,42,1,42001,Tramadol,4,420,75351
2466,2015,PA,ALLEGHENY,42,3,42003,Butyryl fentanyl,1,8938,75351
2467,2015,PA,BEAVER,42,7,42007,Heroin,171,630,75351
2468,2015,PA,BEAVER,42,7,42007,Methadone,2,630,75351
2469,2015,PA,BEAVER,42,7,42007,Pentazocine,1,630,75351
2470,2015,PA,BRADFORD,42,15,42015,Fentanyl,4,218,75351
2471,2015,PA,BRADFORD,42,15,42015,Heroin,54,218,75351
2482,2015,PA,ADAMS,42,1,42001,Buprenorphine,6,420,75351
2483,2015,PA,ALLEGHENY,42,3,42003,Acetyl fentanyl,68,8938,75351
2484,2015,PA,ALLEGHENY,42,3,42003,Fentanyl,312,8938,75351
2485,2015,PA,ALLEGHENY,42,3,42003,Hydromorphone,5,8938,75351
2486,2015,PA,ARMSTRONG,42,5,42005,Oxycodone,5,248,75351
2487,2015,PA,BEAVER,42,7,42007,Oxycodone,13,630,75351
2488,2015,PA,BEAVER,42,7,42007,Oxymorphone,4,630,75351
2489,2015,PA,BEDFORD,42,9,42009,Hydrocodone,5,209,75351
2490,2015,PA,BERKS,42,11,42011,Codeine,4,2476,75351
2491,2015,PA,BLAIR,42,13,42013,Oxycodone,31,630,75351
2492,2015,PA,BLAIR,42,13,42013,Oxymorphone,1,630,75351
2493,2015,PA,BUCKS,42,17,42017,Oxycodone,79,2030,75351
2494,2015,PA,BUCKS,42,17,42017,Oxymorphone,5,2030,75351
2495,2015,PA,BUTLER,42,19,42019,Hydrocodone,3,379,75351
2496,2015,PA,BUTLER,42,19,42019,Oxycodone,2,379,75351
2520,2015,PA,ALLEGHENY,42,3,42003,Hydrocodone,105,8938,75351
2521,2015,PA,ALLEGHENY,42,3,42003,Tramadol,40,8938,75351
2522,2015,PA,ARMSTRONG,42,5,42005,Heroin,113,248,75351
2523,2015,PA,BEDFORD,42,9,42009,Acetyl fentanyl,1,209,75351
2524,2015,PA,BEDFORD,42,9,42009,Fentanyl,3,209,75351
2525,2015,PA,BEDFORD,42,9,42009,Methadone,1,209,75351
2526,2015,PA,BERKS,42,11,42011,Heroin,424,2476,75351
2527,2015,PA,BERKS,42,11,42011,Oxycodone,39,2476,75351
2528,2015,PA,BLAIR,42,13,42013,Codeine,7,630,75351
2529,2015,PA,BLAIR,42,13,42013,Heroin,209,630,75351
2530,2015,PA,BLAIR,42,13,42013,Methadone,5,630,75351
2531,2015,PA,BRADFORD,42,15,42015,Hydrocodone,4,218,75351
2532,2015,PA,BRADFORD,42,15,42015,Tramadol,1,218,75351
2533,2015,PA,BUCKS,42,17,42017,Heroin,542,2030,75351
2534,2015,PA,BUTLER,42,19,42019,Heroin,155,379,75351
2535,2015,PA,CAMBRIA,42,21,42021,Heroin,367,738,75351
2536,2015,PA,CAMBRIA,42,21,42021,Methadone,2,738,75351
2537,2015,PA,CENTRE,42,27,42027,Fentanyl,4,505,75351
2538,2015,PA,CENTRE,42,27,42027,Hydromorphone,3,505,75351
2539,2015,PA,CENTRE,42,27,42027,Methadone,3,505,75351
2540,2015,PA,CHESTER,42,29,42029,Codeine,2,1599,75351
2541,2015,PA,CHESTER,42,29,42029,Oxymorphone,3,1599,75351
2542,2015,PA,CLARION,42,31,42031,Buprenorphine,9,137,75351
2543,2015,PA,COLUMBIA,42,37,42037,Buprenorphine,4,339,75351
2544,2015,PA,DAUPHIN,42,43,42043,Hydrocodone,24,2848,75351
2545,2015,PA,DAUPHIN,42,43,42043,Tramadol,9,2848,75351
2546,2015,PA,DELAWARE,42,45,42045,Codeine,21,5667,75351
2547,2015,PA,DELAWARE,42,45,42045,Methadone,22,5667,75351
2548,2015,PA,DELAWARE,42,45,42045,Methorphan,6,5667,75351
2564,2015,PA,ADAMS,42,1,42001,Hydromorphone,1,420,75351
2565,2015,PA,ALLEGHENY,42,3,42003,Buprenorphine,315,8938,75351
2566,2015,PA,ALLEGHENY,42,3,42003,Propoxyphene,1,8938,75351
2567,2015,PA,ARMSTRONG,42,5,42005,Hydrocodone,2,248,75351
2568,2015,PA,ARMSTRONG,42,5,42005,Morphine,1,248,75351
2569,2015,PA,ARMSTRONG,42,5,42005,Tramadol,2,248,75351
2570,2015,PA,BEAVER,42,7,42007,Hydrocodone,5,630,75351
2571,2015,PA,BEAVER,42,7,42007,Morphine,1,630,75351
2572,2015,PA,BERKS,42,11,42011,Hydrocodone,4,2476,75351
2573,2015,PA,BLAIR,42,13,42013,Fentanyl,6,630,75351
2574,2015,PA,BLAIR,42,13,42013,Hydrocodone,10,630,75351
2575,2015,PA,BEAVER,42,7,42007,Buprenorphine,11,630,75351
2576,2015,PA,BEAVER,42,7,42007,Codeine,1,630,75351
2577,2015,PA,BEDFORD,42,9,42009,Heroin,22,209,75351
2578,2015,PA,BERKS,42,11,42011,Fentanyl,14,2476,75351
2579,2015,PA,BLAIR,42,13,42013,Buprenorphine,39,630,75351
2580,2015,PA,BUCKS,42,17,42017,Buprenorphine,36,2030,75351
2581,2015,PA,BUCKS,42,17,42017,Codeine,6,2030,75351
2582,2015,PA,CENTRE,42,27,42027,Buprenorphine,24,505,75351
2583,2015,PA,CHESTER,42,29,42029,Methorphan,1,1599,75351
2584,2015,PA,CLEARFIELD,42,33,42033,Oxycodone,8,260,75351
2585,2015,PA,CLEARFIELD,42,33,42033,Oxymorphone,1,260,75351
2586,2015,PA,CLINTON,42,35,42035,Buprenorphine,9,166,75351
2587,2015,PA,COLUMBIA,42,37,42037,Methadone,2,339,75351
2588,2015,PA,CRAWFORD,42,39,42039,Tramadol,1,449,75351
2589,2015,PA,DAUPHIN,42,43,42043,Acetyl fentanyl,4,2848,75351
2590,2015,PA,DAUPHIN,42,43,42043,Fentanyl,30,2848,75351
2591,2015,PA,DAUPHIN,42,43,42043,Oxycodone,55,2848,75351
2592,2015,PA,DAUPHIN,42,43,42043,Oxymorphone,1,2848,75351
2593,2015,PA,DELAWARE,42,45,42045,Heroin,929,5667,75351
2594,2015,PA,DELAWARE,42,45,42045,Propoxyphene,1,5667,75351
2595,2015,PA,ERIE,42,49,42049,Buprenorphine,13,1520,75351
2596,2015,PA,ERIE,42,49,42049,Codeine,2,1520,75351
2597,2015,PA,FAYETTE,42,51,42051,Fentanyl,24,817,75351
2598,2015,PA,FAYETTE,42,51,42051,Heroin,218,817,75351
2599,2015,PA,FAYETTE,42,51,42051,Methadone,5,817,75351
2600,2015,PA,FRANKLIN,42,55,42055,Heroin,109,509,75351
2604,2015,PA,ADAMS,42,1,42001,Methadone,1,420,75351
2605,2015,PA,ALLEGHENY,42,3,42003,Oxycodone,172,8938,75351
2606,2015,PA,ALLEGHENY,42,3,42003,Oxymorphone,24,8938,75351
2607,2015,PA,ARMSTRONG,42,5,42005,Acetyl fentanyl,5,248,75351
2608,2015,PA,BEAVER,42,7,42007,Fentanyl,11,630,75351
2609,2015,PA,BEAVER,42,7,42007,Tramadol,1,630,75351
2610,2015,PA,BEDFORD,42,9,42009,Oxycodone,2,209,75351
2611,2015,PA,BLAIR,42,13,42013,Tramadol,3,630,75351
2612,2015,PA,BRADFORD,42,15,42015,Buprenorphine,4,218,75351
2613,2015,PA,BUCKS,42,17,42017,Fentanyl,41,2030,75351
2614,2015,PA,BUTLER,42,19,42019,Morphine,2,379,75351
2615,2015,PA,CAMBRIA,42,21,42021,Acetyl fentanyl,8,738,75351
2616,2015,PA,CARBON,42,25,42025,Oxycodone,8,313,75351
2617,2015,PA,CENTRE,42,27,42027,Oxycodone,3,505,75351
2618,2015,PA,CHESTER,42,29,42029,Acetyl fentanyl,4,1599,75351
2619,2015,PA,CHESTER,42,29,42029,Buprenorphine,23,1599,75351
2620,2015,PA,CHESTER,42,29,42029,Fentanyl,21,1599,75351
2621,2015,PA,CLARION,42,31,42031,Heroin,13,137,75351
2622,2015,PA,CLEARFIELD,42,33,42033,Hydrocodone,6,260,75351
2623,2015,PA,COLUMBIA,42,37,42037,Codeine,1,339,75351
2624,2015,PA,COLUMBIA,42,37,42037,Heroin,51,339,75351
2625,2015,PA,CRAWFORD,42,39,42039,Heroin,67,449,75351
2626,2015,PA,CUMBERLAND,42,41,42041,Oxycodone,1,200,75351
2627,2015,PA,BERKS,42,11,42011,Buprenorphine,13,2476,75351
2628,2015,PA,BERKS,42,11,42011,Morphine,1,2476,75351
2629,2015,PA,BERKS,42,11,42011,Tramadol,10,2476,75351
2630,2015,PA,BLAIR,42,13,42013,Acetyl fentanyl,4,630,75351
2631,2015,PA,BUCKS,42,17,42017,Acetyl fentanyl,1,2030,75351
2632,2015,PA,BUTLER,42,19,42019,Acetyl fentanyl,3,379,75351
2633,2015,PA,CAMBRIA,42,21,42021,Morphine,2,738,75351
2634,2015,PA,CARBON,42,25,42025,Heroin,74,313,75351
2635,2015,PA,CHESTER,42,29,42029,Tramadol,6,1599,75351
2636,2015,PA,CLINTON,42,35,42035,Hydrocodone,6,166,75351
2637,2015,PA,CRAWFORD,42,39,42039,Oxycodone,12,449,75351
2638,2015,PA,CUMBERLAND,42,41,42041,Heroin,39,200,75351
2639,2015,PA,ERIE,42,49,42049,Fentanyl,3,1520,75351
2640,2015,PA,FAYETTE,42,51,42051,Hydrocodone,17,817,75351
2641,2015,PA,FAYETTE,42,51,42051,Tramadol,4,817,75351
2642,2015,PA,FOREST,42,53,42053,Hydrocodone,1,8,75351
2643,2015,PA,FRANKLIN,42,55,42055,Fentanyl,5,509,75351
2644,2015,PA,FRANKLIN,42,55,42055,Hydrocodone,4,509,75351
2645,2015,PA,FRANKLIN,42,55,42055,Methadone,1,509,75351
2646,2015,PA,FRANKLIN,42,55,42055,Tramadol,3,509,75351
2647,2015,PA,FULTON,42,57,42057,Fentanyl,1,18,75351
2648,2015,PA,BUTLER,42,19,42019,Buprenorphine,6,379,75351
2649,2015,PA,BUTLER,42,19,42019,Tramadol,1,379,75351
2650,2015,PA,CAMBRIA,42,21,42021,Fentanyl,26,738,75351
2651,2015,PA,CHESTER,42,29,42029,Hydrocodone,15,1599,75351
2652,2015,PA,CLARION,42,31,42031,Tramadol,1,137,75351
2653,2015,PA,CLEARFIELD,42,33,42033,Buprenorphine,5,260,75351
2654,2015,PA,CLEARFIELD,42,33,42033,Morphine,2,260,75351
