,YYYY,State,COUNTY,FIPS_State,FIPS_County,FIPS_Combined,SubstanceName,DrugReports,TotalDrugReportsCounty,TotalDrugReportsState
1973,2014,PA,ADAMS,42,1,42001,Oxycodone,13,277,77318
1974,2014,PA,ALLEGHENY,42,3,42003,Levorphanol,1,9286,77318
1975,2014,PA,ALLEGHENY,42,3,42003,Propoxyphene,1,9286,77318
1986,2014,PA,ADAMS,42,1,42001,Codeine,1,277,77318
1987,2014,PA,ADAMS,42,1,42001,Methadone,1,277,77318
1988,2014,PA,ARMSTRONG,42,5,42005,Fentanyl,8,263,77318
1989,2014,PA,BEDFORD,42,9,42009,Buprenorphine,9,133,77318
1990,2014,PA,BERKS,42,11,42011,Fentanyl,3,2668,77318
1991,2014,PA,BERKS,42,11,42011,Morphine,3,2668,77318
1992,2014,PA,BERKS,42,11,42011,Tramadol,4,2668,77318
2009,2014,PA,ALLEGHENY,42,3,42003,Oxycodone,259,9286,77318
2010,2014,PA,ALLEGHENY,42,3,42003,Oxymorphone,16,9286,77318
2011,2014,PA,BEAVER,42,7,42007,Heroin,128,602,77318
2012,2014,PA,BERKS,42,11,42011,Hydromorphone,2,2668,77318
2013,2014,PA,BERKS,42,11,42011,Oxycodone,75,2668,77318
2014,2014,PA,BLAIR,42,13,42013,Heroin,310,768,77318
2015,2014,PA,BLAIR,42,13,42013,Methadone,14,768,77318
2016,2014,PA,BRADFORD,42,15,42015,Fentanyl,1,229,77318
2017,2014,PA,BRADFORD,42,15,42015,Heroin,53,229,77318
2018,2014,PA,BRADFORD,42,15,42015,Methadone,1,229,77318
2019,2014,PA,BUTLER,42,19,42019,Buprenorphine,8,482,77318
2020,2014,PA,BUTLER,42,19,42019,Morphine,2,482,77318
2021,2014,PA,CAMBRIA,42,21,42021,Fentanyl,2,859,77318
2022,2014,PA,CENTRE,42,27,42027,Oxycodone,11,462,77318
2031,2014,PA,ADAMS,42,1,42001,Buprenorphine,1,277,77318
2032,2014,PA,ADAMS,42,1,42001,Morphine,4,277,77318
2033,2014,PA,ALLEGHENY,42,3,42003,Hydrocodone,128,9286,77318
2034,2014,PA,ALLEGHENY,42,3,42003,Hydromorphone,4,9286,77318
2035,2014,PA,ALLEGHENY,42,3,42003,Tramadol,23,9286,77318
2036,2014,PA,ARMSTRONG,42,5,42005,Heroin,151,263,77318
2037,2014,PA,BEAVER,42,7,42007,Oxycodone,32,602,77318
2038,2014,PA,BEAVER,42,7,42007,Propoxyphene,1,602,77318
2039,2014,PA,BERKS,42,11,42011,Oxymorphone,1,2668,77318
2040,2014,PA,BLAIR,42,13,42013,Oxycodone,25,768,77318
2041,2014,PA,BUCKS,42,17,42017,Oxycodone,303,5945,77318
2042,2014,PA,BUCKS,42,17,42017,Oxymorphone,2,5945,77318
2043,2014,PA,BUTLER,42,19,42019,Hydrocodone,2,482,77318
2044,2014,PA,BUTLER,42,19,42019,Oxycodone,6,482,77318
2045,2014,PA,BUTLER,42,19,42019,Oxymorphone,1,482,77318
2046,2014,PA,CAMBRIA,42,21,42021,Heroin,356,859,77318
2047,2014,PA,CARBON,42,25,42025,Fentanyl,3,395,77318
2050,2014,PA,ALLEGHENY,42,3,42003,Morphine,14,9286,77318
2051,2014,PA,BEAVER,42,7,42007,Dextropropoxyphene,1,602,77318
2052,2014,PA,BEAVER,42,7,42007,Pethidine,1,602,77318
2053,2014,PA,BEDFORD,42,9,42009,Oxycodone,7,133,77318
2054,2014,PA,BLAIR,42,13,42013,Morphine,5,768,77318
2055,2014,PA,BUCKS,42,17,42017,Codeine,5,5945,77318
2056,2014,PA,BUCKS,42,17,42017,Morphine,34,5945,77318
2057,2014,PA,CHESTER,42,29,42029,Oxycodone,115,1555,77318
2058,2014,PA,CLEARFIELD,42,33,42033,Oxycodone,3,268,77318
2059,2014,PA,CLEARFIELD,42,33,42033,Oxymorphone,1,268,77318
2060,2014,PA,CLEARFIELD,42,33,42033,Tramadol,2,268,77318
2061,2014,PA,CLINTON,42,35,42035,Morphine,2,149,77318
2062,2014,PA,CRAWFORD,42,39,42039,Heroin,24,513,77318
2063,2014,PA,CRAWFORD,42,39,42039,Tramadol,1,513,77318
2064,2014,PA,CUMBERLAND,42,41,42041,Morphine,1,166,77318
2070,2014,PA,ARMSTRONG,42,5,42005,Oxycodone,3,263,77318
2071,2014,PA,BERKS,42,11,42011,Heroin,392,2668,77318
2072,2014,PA,BLAIR,42,13,42013,Codeine,1,768,77318
2073,2014,PA,BRADFORD,42,15,42015,Codeine,1,229,77318
2074,2014,PA,BRADFORD,42,15,42015,Hydrocodone,5,229,77318
2075,2014,PA,BRADFORD,42,15,42015,Tramadol,1,229,77318
2076,2014,PA,BUCKS,42,17,42017,Heroin,1640,5945,77318
2077,2014,PA,BUTLER,42,19,42019,Heroin,158,482,77318
2078,2014,PA,CAMBRIA,42,21,42021,Codeine,2,859,77318
2079,2014,PA,CAMBRIA,42,21,42021,Hydrocodone,9,859,77318
2080,2014,PA,CAMBRIA,42,21,42021,Oxycodone,35,859,77318
2081,2014,PA,CAMBRIA,42,21,42021,Oxymorphone,1,859,77318
2082,2014,PA,CHESTER,42,29,42029,Codeine,1,1555,77318
2083,2014,PA,CHESTER,42,29,42029,Heroin,289,1555,77318
2084,2014,PA,CLARION,42,31,42031,Buprenorphine,14,115,77318
2085,2014,PA,CLEARFIELD,42,33,42033,Buprenorphine,7,268,77318
2086,2014,PA,COLUMBIA,42,37,42037,Fentanyl,1,376,77318
2087,2014,PA,COLUMBIA,42,37,42037,Morphine,1,376,77318
2088,2014,PA,CRAWFORD,42,39,42039,Hydrocodone,6,513,77318
2089,2014,PA,CRAWFORD,42,39,42039,Methadone,1,513,77318
2097,2014,PA,ALLEGHENY,42,3,42003,Buprenorphine,333,9286,77318
2098,2014,PA,ALLEGHENY,42,3,42003,Codeine,2,9286,77318
2099,2014,PA,ARMSTRONG,42,5,42005,Buprenorphine,14,263,77318
2100,2014,PA,ARMSTRONG,42,5,42005,Hydrocodone,1,263,77318
2101,2014,PA,BEAVER,42,7,42007,Buprenorphine,10,602,77318
2102,2014,PA,BEDFORD,42,9,42009,Heroin,14,133,77318
2103,2014,PA,BERKS,42,11,42011,Hydrocodone,21,2668,77318
2104,2014,PA,BLAIR,42,13,42013,Buprenorphine,18,768,77318
2105,2014,PA,BLAIR,42,13,42013,Fentanyl,8,768,77318
2106,2014,PA,BUCKS,42,17,42017,Buprenorphine,97,5945,77318
2107,2014,PA,BUCKS,42,17,42017,Hydrocodone,24,5945,77318
2108,2014,PA,CAMBRIA,42,21,42021,Hydromorphone,1,859,77318
2109,2014,PA,CAMBRIA,42,21,42021,Methadone,9,859,77318
2110,2014,PA,CENTRE,42,27,42027,Morphine,1,462,77318
2111,2014,PA,CHESTER,42,29,42029,Methadone,6,1555,77318
2112,2014,PA,CLEARFIELD,42,33,42033,Heroin,18,268,77318
2113,2014,PA,CENTRE,42,27,42027,Hydrocodone,3,462,77318
2114,2014,PA,CLINTON,42,35,42035,Buprenorphine,10,149,77318
2115,2014,PA,CUMBERLAND,42,41,42041,Hydrocodone,1,166,77318
2116,2014,PA,CUMBERLAND,42,41,42041,Hydromorphone,1,166,77318
2117,2014,PA,CUMBERLAND,42,41,42041,Tramadol,1,166,77318
2118,2014,PA,DELAWARE,42,45,42045,Heroin,765,5219,77318
2119,2014,PA,ELK,42,47,42047,Hydrocodone,3,131,77318
2120,2014,PA,ERIE,42,49,42049,Heroin,230,1506,77318
2121,2014,PA,FAYETTE,42,51,42051,Buprenorphine,47,995,77318
2122,2014,PA,HUNTINGDON,42,61,42061,Buprenorphine,5,142,77318
2123,2014,PA,HUNTINGDON,42,61,42061,Morphine,1,142,77318
2124,2014,PA,BRADFORD,42,15,42015,Morphine,1,229,77318
2125,2014,PA,BUCKS,42,17,42017,Fentanyl,77,5945,77318
2126,2014,PA,BUCKS,42,17,42017,Hydromorphone,1,5945,77318
2127,2014,PA,BUCKS,42,17,42017,Methadone,21,5945,77318
2128,2014,PA,BUTLER,42,19,42019,Hydromorphone,2,482,77318
2129,2014,PA,CARBON,42,25,42025,Heroin,72,395,77318
2130,2014,PA,CENTRE,42,27,42027,Buprenorphine,4,462,77318
2131,2014,PA,CLARION,42,31,42031,Heroin,19,115,77318
2132,2014,PA,COLUMBIA,42,37,42037,Heroin,102,376,77318
2133,2014,PA,DELAWARE,42,45,42045,Buprenorphine,149,5219,77318
2134,2014,PA,ERIE,42,49,42049,Fentanyl,10,1506,77318
2135,2014,PA,ERIE,42,49,42049,Hydromorphone,1,1506,77318
2136,2014,PA,ERIE,42,49,42049,Methadone,4,1506,77318
2137,2014,PA,FAYETTE,42,51,42051,Hydrocodone,32,995,77318
2138,2014,PA,FRANKLIN,42,55,42055,Hydrocodone,3,561,77318
2139,2014,PA,FRANKLIN,42,55,42055,Tramadol,2,561,77318
2140,2014,PA,CHESTER,42,29,42029,Buprenorphine,19,1555,77318
2141,2014,PA,CHESTER,42,29,42029,Hydrocodone,12,1555,77318
2142,2014,PA,CLARION,42,31,42031,Hydrocodone,2,115,77318
2143,2014,PA,CLEARFIELD,42,33,42033,Morphine,1,268,77318
2144,2014,PA,CLINTON,42,35,42035,Oxycodone,3,149,77318
2145,2014,PA,COLUMBIA,42,37,42037,Buprenorphine,2,376,77318
2146,2014,PA,COLUMBIA,42,37,42037,Hydrocodone,1,376,77318
2147,2014,PA,COLUMBIA,42,37,42037,Tramadol,2,376,77318
2148,2014,PA,CRAWFORD,42,39,42039,Buprenorphine,7,513,77318
2149,2014,PA,CRAWFORD,42,39,42039,Morphine,8,513,77318
2150,2014,PA,DAUPHIN,42,43,42043,Morphine,4,2922,77318
2151,2014,PA,DELAWARE,42,45,42045,Methadone,19,5219,77318
2152,2014,PA,FAYETTE,42,51,42051,Hydromorphone,1,995,77318
2153,2014,PA,BEAVER,42,7,42007,Hydrocodone,5,602,77318
2154,2014,PA,BERKS,42,11,42011,Buprenorphine,12,2668,77318
2155,2014,PA,BLAIR,42,13,42013,Hydrocodone,16,768,77318
2156,2014,PA,BLAIR,42,13,42013,Tramadol,2,768,77318
2157,2014,PA,BRADFORD,42,15,42015,Buprenorphine,4,229,77318
2158,2014,PA,BUCKS,42,17,42017,Tramadol,6,5945,77318
2159,2014,PA,CAMBRIA,42,21,42021,Tramadol,1,859,77318
2160,2014,PA,CARBON,42,25,42025,Oxycodone,12,395,77318
2161,2014,PA,CHESTER,42,29,42029,Fentanyl,12,1555,77318
2162,2014,PA,CHESTER,42,29,42029,Hydromorphone,2,1555,77318
2163,2014,PA,CHESTER,42,29,42029,Tramadol,7,1555,77318
2164,2014,PA,CLARION,42,31,42031,Oxycodone,3,115,77318
2165,2014,PA,CLARION,42,31,42031,Oxymorphone,1,115,77318
2166,2014,PA,CLEARFIELD,42,33,42033,Hydrocodone,5,268,77318
2167,2014,PA,CLINTON,42,35,42035,Hydrocodone,7,149,77318
2168,2014,PA,CLINTON,42,35,42035,Tramadol,1,149,77318
2169,2014,PA,COLUMBIA,42,37,42037,Codeine,6,376,77318
2170,2014,PA,COLUMBIA,42,37,42037,Oxycodone,5,376,77318
2171,2014,PA,CRAWFORD,42,39,42039,Oxycodone,11,513,77318
2172,2014,PA,CRAWFORD,42,39,42039,Oxymorphone,2,513,77318
2173,2014,PA,CUMBERLAND,42,41,42041,Oxycodone,9,166,77318
2174,2014,PA,CUMBERLAND,42,41,42041,Oxymorphone,1,166,77318
2175,2014,PA,DAUPHIN,42,43,42043,Buprenorphine,17,2922,77318
2176,2014,PA,DAUPHIN,42,43,42043,Hydrocodone,21,2922,77318
2177,2014,PA,DAUPHIN,42,43,42043,Tramadol,6,2922,77318
2178,2014,PA,DELAWARE,42,45,42045,Codeine,17,5219,77318
2179,2014,PA,DELAWARE,42,45,42045,Hydrocodone,50,5219,77318
2180,2014,PA,DELAWARE,42,45,42045,Methorphan,2,5219,77318
2181,2014,PA,ELK,42,47,42047,Oxycodone,4,131,77318
2182,2014,PA,ERIE,42,49,42049,Oxycodone,14,1506,77318
2183,2014,PA,ERIE,42,49,42049,Oxymorphone,3,1506,77318
2184,2014,PA,GREENE,42,59,42059,Buprenorphine,24,163,77318
2185,2014,PA,INDIANA,42,63,42063,Oxycodone,2,191,77318
2186,2014,PA,LANCASTER,42,71,42071,Hydromorphone,1,1659,77318
2187,2014,PA,DELAWARE,42,45,42045,Morphine,20,5219,77318
2188,2014,PA,ELK,42,47,42047,Acetyl fentanyl,1,131,77318
2189,2014,PA,ELK,42,47,42047,Buprenorphine,6,131,77318
